Date,GSPC,VIX
1990-01-02,359.69,17.24
1990-01-03,358.76,18.19
1990-01-04,355.67,19.22
1990-01-05,352.2,20.11
1990-01-08,353.79,20.26
1990-01-09,349.62,22.2
1990-01-10,347.31,22.44
1990-01-11,348.53,20.05
1990-01-12,339.93,24.64
1990-01-15,337.0,26.34
1990-01-16,340.75,24.18
1990-01-17,337.4,24.16
1990-01-18,338.19,24.34
1990-01-19,339.15,22.5
1990-01-22,330.38,26.7
1990-01-23,331.61,24.72
1990-01-24,330.26,25.39
1990-01-25,326.08,25.63
1990-01-26,325.8,26.28
1990-01-29,325.2,26.44
1990-01-30,322.98,27.25
1990-01-31,329.08,25.36
1990-02-01,328.79,24.87
1990-02-02,330.92,24.32
1990-02-05,331.85,24.54
1990-02-06,329.66,24.69
1990-02-07,333.75,24.29
1990-02-08,332.96,23.77
1990-02-09,333.62,23.69
1990-02-12,330.08,24.38
1990-02-13,331.02,23.76
1990-02-14,332.01,22.05
1990-02-15,334.89,19.71
1990-02-16,332.72,20.78
1990-02-20,327.99,22.78
1990-02-21,327.67,23.89
1990-02-22,325.7,22.54
1990-02-23,324.15,23.69
1990-02-26,328.67,23.56
1990-02-27,330.26,22.69
1990-02-28,331.89,21.99
1990-03-01,332.74,21.9
1990-03-02,335.54,21.34
1990-03-05,333.74,22.03
1990-03-06,337.93,20.55
1990-03-07,336.95,19.1
1990-03-08,340.27,19.74
1990-03-09,337.93,20.3
1990-03-12,338.67,20.07
1990-03-13,336.0,21.05
1990-03-14,336.87,19.65
1990-03-15,338.07,18.81
1990-03-16,341.91,17.62
1990-03-19,343.53,18.29
1990-03-20,341.57,19.06
1990-03-21,339.74,20.1
1990-03-22,335.69,22.74
1990-03-23,337.22,20.46
1990-03-26,337.63,19.59
1990-03-27,341.5,21.01
1990-03-28,342.0,19.77
1990-03-29,340.79,18.46
1990-03-30,339.94,19.73
1990-04-02,338.7,22.84
1990-04-03,343.64,20.44
1990-04-04,341.09,22.03
1990-04-05,340.73,21.21
1990-04-06,340.08,21.76
1990-04-09,341.37,22.3
1990-04-10,342.07,21.69
1990-04-11,341.92,17.73
1990-04-12,344.34,19.8
1990-04-16,344.74,20.75
1990-04-17,344.68,20.38
1990-04-18,340.72,22.67
1990-04-19,338.09,22.46
1990-04-20,335.12,23.33
1990-04-23,331.05,24.16
1990-04-24,330.36,21.7
1990-04-25,332.03,20.86
1990-04-26,332.92,20.25
1990-04-27,329.11,22.19
1990-04-30,330.8,19.52
1990-05-01,332.25,18.43
1990-05-02,334.48,19.32
1990-05-03,335.57,17.81
1990-05-04,338.39,17.28
1990-05-07,340.53,17.65
1990-05-08,342.01,18.49
1990-05-09,342.86,18.64
1990-05-10,343.82,18.59
1990-05-11,352.0,19.81
1990-05-14,354.75,20.14
1990-05-15,354.28,19.49
1990-05-16,354.0,17.71
1990-05-17,354.47,17.27
1990-05-18,354.64,17.2
1990-05-21,358.0,16.72
1990-05-22,358.43,17.84
1990-05-23,359.29,17.18
1990-05-24,358.41,17.7
1990-05-25,354.58,17.32
1990-05-29,360.65,18.75
1990-05-30,360.86,17.44
1990-05-31,361.23,17.37
1990-06-01,363.16,17.09
1990-06-04,367.4,18.39
1990-06-05,366.64,18.97
1990-06-06,364.96,17.42
1990-06-07,363.15,16.88
1990-06-08,358.71,17.58
1990-06-11,361.63,16.34
1990-06-12,366.25,16.6
1990-06-13,364.9,17.38
1990-06-14,362.9,17.4
1990-06-15,362.91,15.9
1990-06-18,356.88,17.71
1990-06-19,358.47,15.23
1990-06-20,359.1,15.27
1990-06-21,360.47,14.72
1990-06-22,355.43,19.36
1990-06-25,352.31,17.06
1990-06-26,352.06,16.29
1990-06-27,355.14,16.0
1990-06-28,357.63,16.18
1990-06-29,358.02,15.5
1990-07-02,359.54,16.26
1990-07-03,360.16,16.11
1990-07-05,355.68,17.25
1990-07-06,358.42,16.41
1990-07-09,359.52,16.66
1990-07-10,356.49,16.92
1990-07-11,361.23,16.68
1990-07-12,365.44,17.06
1990-07-13,367.31,17.09
1990-07-16,368.95,16.75
1990-07-17,367.52,16.66
1990-07-18,364.22,18.9
1990-07-19,365.32,18.56
1990-07-20,361.61,15.63
1990-07-23,355.31,23.68
1990-07-24,355.79,21.79
1990-07-25,357.09,20.19
1990-07-26,355.91,20.26
1990-07-27,353.44,21.12
1990-07-30,355.55,21.16
1990-07-31,356.15,21.11
1990-08-01,355.52,21.64
1990-08-02,351.48,20.43
1990-08-03,344.86,28.74
1990-08-06,334.43,35.91
1990-08-07,334.83,32.75
1990-08-08,338.35,28.27
1990-08-09,339.94,24.39
1990-08-10,335.52,25.75
1990-08-13,338.84,25.74
1990-08-14,339.39,24.18
1990-08-15,340.06,23.31
1990-08-16,332.39,27.16
1990-08-17,327.83,27.53
1990-08-20,328.51,26.46
1990-08-21,321.86,28.9
1990-08-22,316.55,30.55
1990-08-23,307.06,36.47
1990-08-24,311.51,33.93
1990-08-27,321.44,29.63
1990-08-28,321.34,29.12
1990-08-29,324.19,27.38
1990-08-30,318.71,29.89
1990-08-31,322.56,29.9
1990-09-04,323.09,29.58
1990-09-05,324.39,28.52
1990-09-06,320.46,30.19
1990-09-07,323.4,28.73
1990-09-10,321.63,29.34
1990-09-11,321.04,28.38
1990-09-12,322.54,28.12
1990-09-13,318.65,29.33
1990-09-14,316.83,30.56
1990-09-17,317.77,29.55
1990-09-18,318.6,28.82
1990-09-19,316.6,27.88
1990-09-20,311.48,28.66
1990-09-21,311.32,30.04
1990-09-24,304.59,30.56
1990-09-25,308.26,28.81
1990-09-26,305.06,28.19
1990-09-27,300.97,28.67
1990-09-28,306.05,29.11
1990-10-01,314.94,28.06
1990-10-02,315.21,27.28
1990-10-03,311.4,27.9
1990-10-04,312.69,27.51
1990-10-05,311.5,27.85
1990-10-08,313.48,28.04
1990-10-09,305.1,30.71
1990-10-10,300.39,31.19
1990-10-11,295.46,33.98
1990-10-12,300.03,31.94
1990-10-15,303.23,31.64
1990-10-16,298.92,31.45
1990-10-17,298.76,31.37
1990-10-18,305.74,29.6
1990-10-19,312.48,27.86
1990-10-22,314.76,27.27
1990-10-23,312.36,27.57
1990-10-24,312.6,28.28
1990-10-25,310.17,29.04
1990-10-26,304.71,30.75
1990-10-29,301.88,31.54
1990-10-30,304.06,30.52
1990-10-31,304.0,30.04
1990-11-01,307.02,30.25
1990-11-02,311.85,30.03
1990-11-05,314.59,29.85
1990-11-06,311.62,29.11
1990-11-07,306.01,30.87
1990-11-08,307.61,30.79
1990-11-09,313.74,26.96
1990-11-12,319.48,25.6
1990-11-13,317.67,24.58
1990-11-14,320.4,22.89
1990-11-15,317.02,22.57
1990-11-16,317.12,21.34
1990-11-19,319.34,20.95
1990-11-20,315.31,20.09
1990-11-21,316.03,21.09
1990-11-23,315.1,20.98
1990-11-26,316.51,22.76
1990-11-27,318.1,22.86
1990-11-28,317.95,22.96
1990-11-29,316.42,23.91
